2024-06-01 21:32:36,500.hm_producer.INFO ==================================================
2024-06-01 21:32:36,500.hm_producer.INFO Today is 2024-06-01 at 09:32 PM
2024-06-01 21:32:36,501.hm_producer.INFO Running on: nt Windows 10
2024-06-01 21:32:36,502.hm_producer.INFO Python version:  3.10.9
2024-06-01 21:32:36,502.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-01 21:32:36,503.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-05-smart-smoker
2024-06-01 21:32:36,503.hm_producer.INFO ==================================================
2024-06-01 21:32:44,549.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:28:10', 215.3)
2024-06-01 21:32:44,587.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:28:15', 215.3)
2024-06-01 21:32:44,633.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:29:10', 217.0)
2024-06-01 21:32:44,676.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:29:15', 217.0)
2024-06-01 21:32:44,701.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:30:10', 218.6)
2024-06-01 21:32:44,727.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:30:15', 218.6)
2024-06-01 21:32:44,752.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:31:10', 218.5)
2024-06-01 21:32:44,779.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:31:15', 218.5)
2024-06-01 21:32:44,805.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:32:10', 219.4)
2024-06-01 21:32:44,831.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:32:15', 219.4)
2024-06-01 21:32:44,858.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:33:10', 220.5)
2024-06-01 21:32:44,889.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:33:15', 220.5)
2024-06-01 21:32:44,919.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:34:10', 220.7)
2024-06-01 21:32:44,952.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:34:15', 220.7)
2024-06-01 21:32:44,987.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:35:10', 222.5)
2024-06-01 21:32:45,025.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:35:15', 222.5)
2024-06-01 21:32:45,064.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:36:10', 223.0)
2024-06-01 21:32:45,111.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:36:15', 223.0)
2024-06-01 21:32:45,165.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:37:10', 224.7)
2024-06-01 21:32:45,208.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:37:15', 224.7)
2024-06-01 21:32:45,237.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:38:10', 224.2)
2024-06-01 21:32:45,264.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:38:15', 224.2)
2024-06-01 21:32:45,290.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:39:10', 223.6)
2024-06-01 21:32:45,322.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:39:15', 223.6)
2024-06-01 21:32:45,355.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:40:10', 224.6)
2024-06-01 21:32:45,384.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:40:15', 224.6)
2024-06-01 21:32:45,413.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:41:10', 224.3)
2024-06-01 21:32:45,445.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:41:15', 224.3)
2024-06-01 21:32:45,479.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:42:10', 226.6)
2024-06-01 21:32:45,513.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:42:15', 226.6)
2024-06-01 21:32:45,545.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:43:10', 229.0)
2024-06-01 21:32:45,582.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:43:15', 229.0)
2024-06-01 21:32:45,737.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:44:10', 232.8)
2024-06-01 21:32:45,774.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:44:15', 232.8)
2024-06-01 21:32:45,801.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:45:10', 237.9)
2024-06-01 21:32:45,830.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:45:15', 237.9)
2024-06-01 21:32:45,857.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:46:10', 200.2)
2024-06-01 21:32:45,886.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 13:46:15', 200.2)
2024-06-01 21:32:45,918.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:46:35', 38.7)
2024-06-01 21:32:45,949.hm_producer.INFO Sent message to 02-food-A: ('05/22/21 13:46:40', 38.7)
2024-06-01 21:32:45,986.hm_producer.INFO Sent message to 03-food-B: ('05/22/21 13:46:40', 37.0)
